hora	appointment
alcoholismo	alcoholism
día	daylight
experto	good
balón	ball
láser	laser
agresión	hostility
reflejo	play
griego	greek
lámpara	lamp
docena	twelve
cactus	cactus
abogado	attorney
inmigrante	immigrant
guerrero	warrior
tipo	species
característica	feature
propulsor	propellant
jinete	rider
revolver	mix
electrón	electron
hegemonía	hegemony
importancia	prominence
ignorancia	darkness
marido	husband
pato	duck
segmento	segment
iluminación	illumination
total	overall
desigualdad	variability
antepasado	father
respecto	respect
disidente	contestant
nobleza	peerage
reforma	reform
hormona	hormone
arteria	artery
pata	foot
activo	fighting
ayudante	helper
protestante	protestant
indígena	endemic
precisión	precision
probabilidad	chance
anemia	anemia
traje	gown
chispa	droplet
sangre	lineage
estancia	farm
cañón	cannon
adolescente	teen
cultivo	culture
precio	price
ciclismo	cycling
proclamación	announcement
instinto	instinct
viga	beam
árbol	tree
previsión	anticipation
comité	delegation
